rank,Processor_name,Processor_full_name,brand,url,rating,grade,antutu_v11,gb6_single,gb6_multi,cores,core_config,clock_mhz,gpu
22,Exynos 2400,Samsung Exynos 2400,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2400,72,A,2037320,2085,6507,10,(1+2+3+4),3210 MHz,Samsung Xclipse 940
23,Exynos 2400e,Samsung Exynos 2400e,Samsung,https://nanoreview.net/en/soc/samsung-exynos-2400e,71,A,1971406,2051,6690,10,(1+2+3+4),3110 MHz,Samsung Xclipse 940
24,Dimensity 8500,MediaTek Dimensity 8500,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8500,70,A,2153969,1721,6716,8,(1+3+4),3400 MHz,Mali-G720 MP8
25,Dimensity 8450,MediaTek Dimensity 8450,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8450,67,A,2016572,1617,6406,8,(1+3+4),3250 MHz,Mali-G720 MP7
26,A15 Bionic,Apple A15 Bionic,Apple,https://nanoreview.net/en/soc/apple-a15-bionic,66,A,1413275,2303,5725,6,(2+4),3230 MHz,Apple A15 GPU
27,Dimensity 8400,MediaTek Dimensity 8400,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-8400,65,A,1934134,1576,5893,8,(1+3+4),3250 MHz,Mali-G720 MP7
28,Dimensity 9200 Plus,MediaTek Dimensity 9200 Plus,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9200-plus,65,A,1798756,2090,5532,8,(1+3+4),3350 MHz,Mali-G715 MP11
29,Snapdragon 8 Gen 2,Qualcomm Snapdragon 8 Gen 2,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-2,64,B,1752044,2033,5558,8,(1+2+2+3),3200 MHz,Adreno 740
30,Dimensity 9200,MediaTek Dimensity 9200,MediaTek,https://nanoreview.net/en/soc/mediatek-dimensity-9200,64,B,1755232,1949,5281,8,(1+3+4),3050 MHz,Mali-G715 MP11
31,Snapdragon 8s Gen 3,Qualcomm Snapdragon 8s Gen 3,Qualcomm,https://nanoreview.net/en/soc/qualcomm-snapdragon-8s-gen-3,63,B,1795718,1938,5143,8,(1+4+3),3000 MHz,Adreno 735
